bedroom,bathrooms,area,furnishing,floor_number,parking,powerbackup,gate_community,location,rent,location_encoded,furnishing_encoded
3,3,1500.0,Semifurnished,1,1,0,No,Gera Emerald City,27000.0,85,1
1,1,0.0,Furnished,1,1,0,No,Wadgaon Sheri,6500.0,333,0
2,2,987.0,Semifurnished,9,1,1,No,GKG The Kings Way,24000.0,79,1
2,2,0.0,Furnished,7,1,2,Yes,Palm Atlantis,17000.0,228,0
2,2,799.0,Unfurnished,2,1,0,Yes,Atul Westernhills,17000.0,27,2
2,2,0.0,Unfurnished,8,0,2,Yes,Bramha Avenue,17000.0,40,2
1,1,575.0,Semifurnished,1,1,1,No,Suncity Township,13000.0,305,1
2,2,765.0,Furnished,6,0,2,Yes,KBD Palladion,26500.0,117,0
3,3,1350.0,Unfurnished,5,1,2,Yes,Clover Village,30000.0,52,2
2,2,900.0,Unfurnished,1,1,2,Yes,Magarpatta Annex,20000.0,166,2
2,2,760.0,Semifurnished,2,1,2,Yes,Geras Adara,22000.0,87,1
1,1,500.0,Unfurnished,0,1,0,No,Wadgaon Sheri,10000.0,333,2
1,2,500.0,Unfurnished,5,1,1,No,Ravinanda Skylights,8500.0,273,2
2,2,0.0,Semifurnished,3,1,2,Yes,Amanora Future Towers,26000.0,15,1
2,2,750.0,Semifurnished,5,1,2,Yes,Nano Homes,14300.0,210,1
2,2,840.0,Unfurnished,7,1,1,No,Majestique City,11000.0,175,2
2,2,0.0,Unfurnished,7,1,1,Yes,Ashtavinayak Aster,13000.0,25,2
3,3,1500.0,Unfurnished,3,1,2,Yes,Bramha Exuberance,27000.0,41,2
3,3,1400.0,Semifurnished,1,1,1,Yes,Bramhacorp F Residences,37000.0,45,1
